timestamp,pid,memory_mb,service_type
2025-06-02 01:57:55.245589,3684,262.7109375,Portfolio Dashboard
2025-06-02 01:57:55.245589,6312,34.546875,Unknown
2025-06-02 01:57:55.245589,7860,4.015625,Unknown
2025-06-02 01:57:55.245589,8948,3.9609375,System Monitor Dashboard
2025-06-02 01:57:55.245589,9712,275.2734375,AI Analytics Dashboard
2025-06-02 01:57:55.245589,9808,242.25,Technical Analysis Dashboard
2025-06-02 01:57:55.245589,10704,59.29296875,Enhanced Dashboard
2025-06-02 01:57:55.245589,12088,266.26953125,System Monitor Dashboard
2025-06-02 01:57:55.245589,13772,3.97265625,Unknown
2025-06-02 01:57:55.245589,16536,4.0390625,Enhanced API Server
2025-06-02 01:57:55.245589,17468,4.03515625,Enhanced API Server
2025-06-02 01:57:55.245589,19092,3.91796875,Strategy Dashboard
2025-06-02 01:57:55.245589,20568,3.91796875,Advanced Trading Analytics
2025-06-02 01:57:55.245589,21672,4.0,Enhanced Dashboard
2025-06-02 01:57:55.245589,21756,257.6484375,Strategy Dashboard
2025-06-02 01:57:55.245589,24440,231.33984375,Enhanced API Server
2025-06-02 01:57:55.245589,24860,207.54296875,News Dashboard
2025-06-02 01:57:55.245589,25420,4.02734375,AI Analytics Dashboard
2025-06-02 01:57:55.245589,26024,169.984375,Enhanced API Server
2025-06-02 01:57:55.245589,26500,3.88671875,Portfolio Dashboard
2025-06-02 01:57:55.245589,27080,3.8828125,Risk Dashboard
2025-06-02 01:57:55.245589,28240,261.6875,Advanced Trading Analytics
2025-06-02 01:57:55.245589,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 01:57:55.245589,29132,3.91796875,News Dashboard
2025-06-02 01:57:55.245589,29412,73.04296875,Unknown
2025-06-02 01:57:55.245589,29604,235.94921875,Risk Dashboard
2025-06-02 01:58:26.878869,3684,262.7109375,Portfolio Dashboard
2025-06-02 01:58:26.878869,6312,34.53125,Unknown
2025-06-02 01:58:26.878869,7860,3.984375,Unknown
2025-06-02 01:58:26.878869,8948,3.9609375,System Monitor Dashboard
2025-06-02 01:58:26.878869,9712,275.34765625,AI Analytics Dashboard
2025-06-02 01:58:26.878869,9808,242.2578125,Technical Analysis Dashboard
2025-06-02 01:58:26.878869,10704,59.29296875,Enhanced Dashboard
2025-06-02 01:58:26.878869,12088,266.25390625,System Monitor Dashboard
2025-06-02 01:58:26.878869,13772,3.95703125,Unknown
2025-06-02 01:58:26.878869,16536,4.0234375,Enhanced API Server
2025-06-02 01:58:26.878869,17468,3.98828125,Enhanced API Server
2025-06-02 01:58:26.878869,19092,3.91796875,Strategy Dashboard
2025-06-02 01:58:26.878869,20568,3.91796875,Advanced Trading Analytics
2025-06-02 01:58:26.878869,21672,4.0,Enhanced Dashboard
2025-06-02 01:58:26.878869,21756,257.65625,Strategy Dashboard
2025-06-02 01:58:26.878869,24440,232.5390625,Enhanced API Server
2025-06-02 01:58:26.878869,24860,207.55078125,News Dashboard
2025-06-02 01:58:26.878869,25420,4.02734375,AI Analytics Dashboard
2025-06-02 01:58:26.878869,26024,169.9921875,Enhanced API Server
2025-06-02 01:58:26.878869,26500,3.88671875,Portfolio Dashboard
2025-06-02 01:58:26.878869,27080,3.8828125,Risk Dashboard
2025-06-02 01:58:26.878869,28240,261.6875,Advanced Trading Analytics
2025-06-02 01:58:26.878869,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 01:58:26.878869,29132,3.91796875,News Dashboard
2025-06-02 01:58:26.878869,29412,73.44921875,Unknown
2025-06-02 01:58:26.878869,29604,235.953125,Risk Dashboard
2025-06-02 01:58:58.315871,3684,262.69921875,Portfolio Dashboard
2025-06-02 01:58:58.315871,6312,34.53125,Unknown
2025-06-02 01:58:58.315871,7860,3.984375,Unknown
2025-06-02 01:58:58.315871,8948,3.9609375,System Monitor Dashboard
2025-06-02 01:58:58.315871,9712,275.4140625,AI Analytics Dashboard
2025-06-02 01:58:58.315871,9808,242.25390625,Technical Analysis Dashboard
2025-06-02 01:58:58.315871,10704,59.26953125,Enhanced Dashboard
2025-06-02 01:58:58.315871,12088,266.25,System Monitor Dashboard
2025-06-02 01:58:58.315871,13772,3.95703125,Unknown
2025-06-02 01:58:58.315871,16536,4.0234375,Enhanced API Server
2025-06-02 01:58:58.315871,17468,3.98828125,Enhanced API Server
2025-06-02 01:58:58.315871,19092,3.90234375,Strategy Dashboard
2025-06-02 01:58:58.315871,20568,3.91796875,Advanced Trading Analytics
2025-06-02 01:58:58.315871,21672,3.984375,Enhanced Dashboard
2025-06-02 01:58:58.315871,21756,257.64453125,Strategy Dashboard
2025-06-02 01:58:58.315871,24440,232.62109375,Enhanced API Server
2025-06-02 01:58:58.315871,24860,207.55078125,News Dashboard
2025-06-02 01:58:58.315871,25420,4.02734375,AI Analytics Dashboard
2025-06-02 01:58:58.315871,26024,169.9921875,Enhanced API Server
2025-06-02 01:58:58.315871,26500,3.87109375,Portfolio Dashboard
2025-06-02 01:58:58.315871,27080,3.8671875,Risk Dashboard
2025-06-02 01:58:58.315871,28240,261.6875,Advanced Trading Analytics
2025-06-02 01:58:58.315871,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 01:58:58.315871,29132,3.91796875,News Dashboard
2025-06-02 01:58:58.315871,29412,73.47265625,Unknown
2025-06-02 01:58:58.315871,29604,235.93359375,Risk Dashboard
2025-06-02 01:59:29.812560,3684,262.7578125,Portfolio Dashboard
2025-06-02 01:59:29.812560,6312,34.53125,Unknown
2025-06-02 01:59:29.812560,7860,3.984375,Unknown
2025-06-02 01:59:29.812560,8948,3.9609375,System Monitor Dashboard
2025-06-02 01:59:29.812560,9712,275.484375,AI Analytics Dashboard
2025-06-02 01:59:29.812560,9808,242.25390625,Technical Analysis Dashboard
2025-06-02 01:59:29.812560,10704,59.2734375,Enhanced Dashboard
2025-06-02 01:59:29.812560,12088,266.26953125,System Monitor Dashboard
2025-06-02 01:59:29.812560,13772,3.95703125,Unknown
2025-06-02 01:59:29.812560,19092,3.90234375,Strategy Dashboard
2025-06-02 01:59:29.812560,20568,3.91796875,Advanced Trading Analytics
2025-06-02 01:59:29.812560,21672,3.984375,Enhanced Dashboard
2025-06-02 01:59:29.812560,21756,257.671875,Strategy Dashboard
2025-06-02 01:59:29.812560,24860,207.55078125,News Dashboard
2025-06-02 01:59:29.812560,25420,4.02734375,AI Analytics Dashboard
2025-06-02 01:59:29.812560,26500,3.87109375,Portfolio Dashboard
2025-06-02 01:59:29.812560,27080,3.8671875,Risk Dashboard
2025-06-02 01:59:29.812560,28240,261.69140625,Advanced Trading Analytics
2025-06-02 01:59:29.812560,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 01:59:29.812560,29132,3.91796875,News Dashboard
2025-06-02 01:59:29.812560,29412,73.484375,Unknown
2025-06-02 01:59:29.812560,29604,235.9296875,Risk Dashboard
2025-06-02 02:00:01.117921,3684,262.78125,Portfolio Dashboard
2025-06-02 02:00:01.117921,6312,34.53125,Unknown
2025-06-02 02:00:01.117921,7860,3.984375,Unknown
2025-06-02 02:00:01.117921,8948,3.9609375,System Monitor Dashboard
2025-06-02 02:00:01.117921,9712,275.546875,AI Analytics Dashboard
2025-06-02 02:00:01.117921,9808,242.25,Technical Analysis Dashboard
2025-06-02 02:00:01.117921,10704,59.2734375,Enhanced Dashboard
2025-06-02 02:00:01.117921,12088,266.2734375,System Monitor Dashboard
2025-06-02 02:00:01.117921,13772,3.95703125,Unknown
2025-06-02 02:00:01.117921,19092,3.90234375,Strategy Dashboard
2025-06-02 02:00:01.117921,20568,3.91796875,Advanced Trading Analytics
2025-06-02 02:00:01.117921,21672,3.984375,Enhanced Dashboard
2025-06-02 02:00:01.117921,21756,257.65625,Strategy Dashboard
2025-06-02 02:00:01.117921,24860,207.55078125,News Dashboard
2025-06-02 02:00:01.117921,25420,4.02734375,AI Analytics Dashboard
2025-06-02 02:00:01.117921,26500,3.87109375,Portfolio Dashboard
2025-06-02 02:00:01.117921,27080,3.8671875,Risk Dashboard
2025-06-02 02:00:01.117921,28240,261.69140625,Advanced Trading Analytics
2025-06-02 02:00:01.117921,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 02:00:01.117921,29132,3.91796875,News Dashboard
2025-06-02 02:00:01.117921,29412,73.55859375,Unknown
2025-06-02 02:00:01.117921,29604,235.9375,Risk Dashboard
2025-06-02 02:00:32.446064,3684,262.796875,Portfolio Dashboard
2025-06-02 02:00:32.446064,6312,34.53125,Unknown
2025-06-02 02:00:32.446064,7860,3.984375,Unknown
2025-06-02 02:00:32.446064,8948,3.9609375,System Monitor Dashboard
2025-06-02 02:00:32.446064,9712,275.609375,AI Analytics Dashboard
2025-06-02 02:00:32.446064,9808,242.25,Technical Analysis Dashboard
2025-06-02 02:00:32.446064,10704,59.2734375,Enhanced Dashboard
2025-06-02 02:00:32.446064,12088,266.2734375,System Monitor Dashboard
2025-06-02 02:00:32.446064,13772,3.95703125,Unknown
2025-06-02 02:00:32.446064,19092,3.90234375,Strategy Dashboard
2025-06-02 02:00:32.446064,20568,3.91796875,Advanced Trading Analytics
2025-06-02 02:00:32.446064,21672,3.984375,Enhanced Dashboard
2025-06-02 02:00:32.446064,21756,257.6796875,Strategy Dashboard
2025-06-02 02:00:32.446064,24860,207.5546875,News Dashboard
2025-06-02 02:00:32.446064,25420,4.02734375,AI Analytics Dashboard
2025-06-02 02:00:32.446064,26500,3.87109375,Portfolio Dashboard
2025-06-02 02:00:32.446064,27080,3.8671875,Risk Dashboard
2025-06-02 02:00:32.446064,28240,261.69140625,Advanced Trading Analytics
2025-06-02 02:00:32.446064,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 02:00:32.446064,29132,3.91796875,News Dashboard
2025-06-02 02:00:32.446064,29412,73.57421875,Unknown
2025-06-02 02:00:32.446064,29604,236.00390625,Risk Dashboard
2025-06-02 02:01:03.821522,3684,262.828125,Portfolio Dashboard
2025-06-02 02:01:03.821522,6312,34.53125,Unknown
2025-06-02 02:01:03.821522,7860,3.984375,Unknown
2025-06-02 02:01:03.821522,8948,3.9609375,System Monitor Dashboard
2025-06-02 02:01:03.821522,9712,275.640625,AI Analytics Dashboard
2025-06-02 02:01:03.821522,9808,242.25,Technical Analysis Dashboard
2025-06-02 02:01:03.821522,10704,59.2734375,Enhanced Dashboard
2025-06-02 02:01:03.821522,12088,266.2734375,System Monitor Dashboard
2025-06-02 02:01:03.821522,13772,3.95703125,Unknown
2025-06-02 02:01:03.821522,19092,3.90234375,Strategy Dashboard
2025-06-02 02:01:03.821522,20568,3.91796875,Advanced Trading Analytics
2025-06-02 02:01:03.821522,21672,3.984375,Enhanced Dashboard
2025-06-02 02:01:03.821522,21756,257.67578125,Strategy Dashboard
2025-06-02 02:01:03.821522,24860,207.5625,News Dashboard
2025-06-02 02:01:03.821522,25420,4.02734375,AI Analytics Dashboard
2025-06-02 02:01:03.821522,26500,3.87109375,Portfolio Dashboard
2025-06-02 02:01:03.821522,27080,3.8671875,Risk Dashboard
2025-06-02 02:01:03.821522,28240,261.6953125,Advanced Trading Analytics
2025-06-02 02:01:03.821522,28572,3.8515625,Technical Analysis Dashboard
2025-06-02 02:01:03.821522,29132,3.91796875,News Dashboard
2025-06-02 02:01:03.821522,29412,73.95703125,Unknown
2025-06-02 02:01:03.821522,29604,236.00390625,Risk Dashboard
2025-06-02 02:01:35.687242,3684,257.51171875,Portfolio Dashboard
2025-06-02 02:01:35.687242,6312,27.95703125,Unknown
2025-06-02 02:01:35.687242,7860,4.0,Unknown
2025-06-02 02:01:35.687242,8948,3.94140625,System Monitor Dashboard
2025-06-02 02:01:35.687242,9712,268.7421875,AI Analytics Dashboard
2025-06-02 02:01:35.687242,9808,194.421875,Technical Analysis Dashboard
2025-06-02 02:01:35.687242,10704,59.28125,Enhanced Dashboard
2025-06-02 02:01:35.687242,12088,259.48046875,System Monitor Dashboard
2025-06-02 02:01:35.687242,13772,3.90234375,Unknown
2025-06-02 02:01:35.687242,19092,3.90625,Strategy Dashboard
2025-06-02 02:01:35.687242,20568,3.859375,Advanced Trading Analytics
2025-06-02 02:01:35.687242,21672,4.0234375,Enhanced Dashboard
2025-06-02 02:01:35.687242,21756,252.5234375,Strategy Dashboard
2025-06-02 02:01:35.687242,24860,125.54296875,News Dashboard
2025-06-02 02:01:35.687242,25420,4.01171875,AI Analytics Dashboard
2025-06-02 02:01:35.687242,26500,3.81640625,Portfolio Dashboard
2025-06-02 02:01:35.687242,27080,3.84375,Risk Dashboard
2025-06-02 02:01:35.687242,28240,253.09765625,Advanced Trading Analytics
2025-06-02 02:01:35.687242,28572,3.8359375,Technical Analysis Dashboard
2025-06-02 02:01:35.687242,29132,3.8671875,News Dashboard
2025-06-02 02:01:35.687242,29412,74.06640625,Unknown
2025-06-02 02:01:35.687242,29604,195.94921875,Risk Dashboard
2025-06-02 02:02:07.559011,3684,257.51953125,Portfolio Dashboard
2025-06-02 02:02:07.559011,6312,27.95703125,Unknown
2025-06-02 02:02:07.559011,7860,4.0,Unknown
2025-06-02 02:02:07.559011,8948,3.94140625,System Monitor Dashboard
2025-06-02 02:02:07.559011,9712,268.88671875,AI Analytics Dashboard
2025-06-02 02:02:07.559011,9808,194.4296875,Technical Analysis Dashboard
2025-06-02 02:02:07.559011,10704,59.28125,Enhanced Dashboard
2025-06-02 02:02:07.559011,12088,259.48046875,System Monitor Dashboard
2025-06-02 02:02:07.559011,13772,3.90234375,Unknown
2025-06-02 02:02:07.559011,19092,3.90625,Strategy Dashboard
2025-06-02 02:02:07.559011,20568,3.859375,Advanced Trading Analytics
2025-06-02 02:02:07.559011,21672,4.0234375,Enhanced Dashboard
2025-06-02 02:02:07.559011,21756,252.50390625,Strategy Dashboard
2025-06-02 02:02:07.559011,24860,125.546875,News Dashboard
2025-06-02 02:02:07.559011,25420,4.01171875,AI Analytics Dashboard
2025-06-02 02:02:07.559011,26500,3.81640625,Portfolio Dashboard
2025-06-02 02:02:07.559011,27080,3.84375,Risk Dashboard
2025-06-02 02:02:07.559011,28240,253.09765625,Advanced Trading Analytics
2025-06-02 02:02:07.559011,28572,3.8359375,Technical Analysis Dashboard
2025-06-02 02:02:07.559011,29132,3.8671875,News Dashboard
2025-06-02 02:02:07.559011,29412,74.15234375,Unknown
2025-06-02 02:02:07.559011,29604,195.953125,Risk Dashboard
2025-06-02 02:02:39.274259,3684,257.546875,Portfolio Dashboard
2025-06-02 02:02:39.274259,6312,27.95703125,Unknown
2025-06-02 02:02:39.274259,7860,4.0,Unknown
2025-06-02 02:02:39.274259,8948,3.94140625,System Monitor Dashboard
2025-06-02 02:02:39.274259,9712,268.890625,AI Analytics Dashboard
2025-06-02 02:02:39.274259,9808,194.4296875,Technical Analysis Dashboard
2025-06-02 02:02:39.274259,10704,59.28125,Enhanced Dashboard
2025-06-02 02:02:39.274259,12088,259.484375,System Monitor Dashboard
2025-06-02 02:02:39.274259,13772,3.90234375,Unknown
2025-06-02 02:02:39.274259,19092,3.90625,Strategy Dashboard
2025-06-02 02:02:39.274259,20568,3.859375,Advanced Trading Analytics
2025-06-02 02:02:39.274259,21672,4.0234375,Enhanced Dashboard
2025-06-02 02:02:39.274259,21756,252.50390625,Strategy Dashboard
2025-06-02 02:02:39.274259,24860,125.546875,News Dashboard
2025-06-02 02:02:39.274259,25420,4.01171875,AI Analytics Dashboard
2025-06-02 02:02:39.274259,26500,3.81640625,Portfolio Dashboard
2025-06-02 02:02:39.274259,27080,3.84375,Risk Dashboard
2025-06-02 02:02:39.274259,28240,253.09765625,Advanced Trading Analytics
2025-06-02 02:02:39.274259,28572,3.8359375,Technical Analysis Dashboard
2025-06-02 02:02:39.274259,29132,3.8671875,News Dashboard
2025-06-02 02:02:39.274259,29412,74.25,Unknown
2025-06-02 02:02:39.274259,29604,195.94921875,Risk Dashboard
